n_total,n_mapped,n_primary,n_secondary,n_chimeria,n_unmapped,barcode
8009,7969,7088,7,873,332,barcode01
5383,5374,4579,11,785,28,barcode02
13838,13795,12116,17,1662,129,barcode03
300,298,269,0,29,88,barcode04
11902,11891,10623,11,1257,24,barcode05
43135,43102,37816,53,5232,38,barcode06
8600,8596,7288,16,1292,10,barcode07
1629,1624,860,35,729,11,barcode08
27781,27358,24005,46,3308,1021,barcode09
912,870,769,19,82,663,barcode10
221,217,195,0,22,81,barcode11
2280,2254,2046,1,207,135,barcode12
537,533,460,5,68,20,barcode13
9931,9907,8756,16,1134,115,barcode14
8840,8791,7667,11,1114,119,barcode15
1724,1720,1498,2,220,57,barcode16
7560,7282,6265,26,990,1256,barcode17
534,521,411,3,106,344,barcode18
444,441,381,1,59,80,barcode19
3446,3422,2864,46,512,145,barcode20
865,857,739,2,116,326,barcode21
32775,32476,28921,61,3493,480,barcode22
679,668,564,3,102,202,barcode23
4126,4108,3456,9,643,225,barcode24
40252,37657,32835,111,4711,6980,barcode25
1102,1051,915,3,133,1879,barcode26
13061,12718,11358,36,1325,1060,barcode27
901,893,806,1,86,162,barcode28
9222,9167,7692,41,1434,185,barcode29
5234,5187,4538,8,640,143,barcode30
12463,12409,10824,20,1565,129,barcode31
4583,4559,3943,6,610,526,barcode32
10188,9897,8513,47,1337,394,barcode33
129,127,107,1,19,154,barcode34
52538,48135,38108,252,9775,5873,unclassified
