n_total,n_mapped,n_primary,n_secondary,n_chimera,n_unmapped,barcode
26869,25306,16738,424,8144,1563,barcode01
2804,2742,2294,7,441,62,barcode02
36547,36389,27123,858,8408,158,barcode03
26969,26797,21293,49,5455,172,barcode04
37339,32662,24491,85,8086,4677,barcode05
171,155,107,0,48,16,barcode06
3173,1441,614,197,630,1732,barcode07
32032,31095,20397,147,10551,937,barcode08
20024,18424,12228,234,5962,1600,barcode09
40172,39504,31548,48,7908,668,barcode10
28132,21986,15455,161,6370,6146,barcode11
17334,15768,12202,64,3502,1566,barcode12
24941,23616,18081,46,5489,1325,barcode13
41506,39838,30368,144,9326,1668,barcode14
19754,19030,14383,102,4545,724,barcode15
21743,20505,13579,131,6795,1238,barcode16
37006,34671,27733,64,6874,2335,barcode17
1640,1535,1036,5,494,105,barcode18
22866,21411,17515,69,3827,1455,barcode19
27598,25750,20473,60,5217,1848,barcode20
58152,55546,37515,230,17801,2606,barcode21
81190,80179,64471,133,15575,1011,barcode22
36442,35946,30084,39,5823,496,barcode23
17816,17656,13581,43,4032,160,barcode24
11738,10606,7578,111,2917,1132,barcode25
26265,25435,19519,84,5832,830,barcode26
24137,22488,12466,160,9862,1649,barcode27
15489,14878,12151,48,2679,611,barcode28
36291,35301,25500,661,9140,990,barcode29
23337,22912,18147,120,4645,425,barcode30
13925,12999,8928,50,4021,926,barcode31
39922,38063,27371,119,10573,1859,barcode32
21029,18127,13256,64,4807,2902,barcode33
19937,17125,11984,654,4487,2812,barcode34
