n_total,n_mapped,n_primary,n_secondary,n_chimeria,n_unmapped,barcode
66785,66453,59108,62,7283,332,barcode01
16461,16433,14001,33,2399,28,barcode02
41612,41483,36434,51,4998,129,barcode03
18405,18317,16540,15,1762,88,barcode04
26188,26164,23374,25,2765,24,barcode05
49367,49329,43280,61,5988,38,barcode06
22553,22543,19112,43,3388,10,barcode07
3453,3442,1823,74,1545,11,barcode08
67080,66059,57962,110,7987,1021,barcode09
14586,13923,12302,310,1311,663,barcode10
4624,4543,4078,9,456,81,barcode11
11811,11676,10602,4,1070,135,barcode12
2702,2682,2315,24,343,20,barcode13
46306,46191,40828,76,5287,115,barcode14
21488,21369,18635,27,2707,119,barcode15
23197,23140,20154,28,2958,57,barcode16
34138,32882,28292,118,4472,1256,barcode17
13337,12993,10270,85,2638,344,barcode18
10484,10404,8988,23,1393,80,barcode19
20991,20846,17446,282,3118,145,barcode20
36324,35998,31045,101,4852,326,barcode21
52594,52114,46410,98,5606,480,barcode22
13206,13004,10967,56,1981,202,barcode23
50391,50166,42200,112,7854,225,barcode24
108289,101309,88335,299,12675,6980,barcode25
40294,38415,33430,118,4867,1879,barcode26
40379,39319,35114,110,4095,1060,barcode27
17787,17625,15902,21,1702,162,barcode28
30962,30777,25823,138,4816,185,barcode29
15895,15752,13782,25,1945,143,barcode30
29503,29374,25622,48,3704,129,barcode31
102709,102183,88367,141,13675,526,barcode32
13778,13384,11513,63,1808,394,barcode33
10060,9906,8335,55,1516,154,barcode34
70083,64210,50834,336,13040,5873,unclassified
