n_total,n_mapped,n_primary,n_secondary,n_chimera,n_unmapped,barcode
53582,53035,43999,239,8797,547,barcode01
17547,17353,13151,64,4138,194,barcode02
10957,10671,7328,254,3089,286,barcode03
3765,3712,2596,33,1083,53,barcode04
11839,11769,1681,419,9669,70,barcode05
1094,1072,680,24,368,22,barcode06
756,746,572,7,167,10,barcode07
521,515,336,10,169,6,barcode08
19088,18216,13229,159,4828,872,barcode09
45606,44283,35320,235,8728,1323,barcode10
44089,42470,33559,273,8638,1619,barcode11
9173,9028,6771,52,2205,145,barcode12
464,427,315,3,109,37,barcode13
4404,3729,2297,213,1219,675,barcode14
10845,10755,8659,27,2069,90,barcode15
3440,2193,1132,319,742,1247,barcode16
7156,6647,5143,35,1469,509,barcode17
3400,3271,1174,335,1762,129,barcode18
37589,36855,31024,192,5639,734,barcode19
2690,2513,1638,32,843,177,barcode20
1432,1294,817,36,441,138,barcode21
13301,13018,10099,86,2833,283,barcode22
2616,2560,1576,47,937,56,barcode23
5801,5486,3966,45,1475,315,barcode24
16756,15459,12189,80,3190,1297,barcode25
8829,7878,5709,173,1996,951,barcode26
17628,17352,13843,94,3415,276,barcode27
5212,5085,2291,200,2594,127,barcode28
32955,32833,26279,120,6434,122,barcode29
2531,1941,980,116,845,590,barcode30
13633,13520,10088,110,3322,113,barcode31
39004,38124,31998,59,6067,880,barcode32
1473,1330,846,6,478,143,barcode33
5674,5257,3159,165,1933,417,barcode34
