barcode,sample_id,is_positive,is_negative,n_amplicons,n_amplicons_pass_cov,amplicon_mean_cov,amplicon_med_cov,amplicon_per_contamination,sample_pass_cov,sample_pass_contamination,sample_pass
barcode01,MIS1011,TRUE,FALSE,8,8,1551.49694,1269.060647,0,TRUE,TRUE,TRUE
barcode02,MIS1012,TRUE,FALSE,8,7,252.3740687,209.9859216,0,TRUE,TRUE,TRUE
barcode03,MIS1013,TRUE,FALSE,8,8,2708.157639,1810.651983,0,TRUE,TRUE,TRUE
barcode04,MIS1014,TRUE,FALSE,8,8,2222.005548,1393.579383,0,TRUE,TRUE,TRUE
barcode05,MIS1015,FALSE,FALSE,8,8,2417.074736,1836.647915,0,TRUE,TRUE,TRUE
barcode06,MIS1017,FALSE,FALSE,8,8,459.989020705,346.665916128,0,TRUE,TRUE,FALSE
barcode07,MIS1018,FALSE,FALSE,8,4,325.74889198,219.8004565,0,TRUE,TRUE,TRUE
barcode08,MIS1019,FALSE,FALSE,8,7,1506.658681,808.3923337,0,TRUE,TRUE,TRUE
barcode09,MIS1020,FALSE,FALSE,8,8,1102.808345,731.9942399,0,TRUE,TRUE,TRUE
barcode10,3D7,TRUE,FALSE,8,8,3346.996516,2620.633634,0,TRUE,TRUE,TRUE
barcode11,Dd2,TRUE,FALSE,8,8,1492.431496,426.3315686,0,TRUE,TRUE,TRUE
barcode12,NTC,FALSE,TRUE,8,0,1.63962,0.5482218,0,FALSE,TRUE,FALSE
barcode13,MIS1022,FALSE,FALSE,8,8,1810.048716,1135.493966,0,TRUE,TRUE,TRUE
barcode14,MIS1023,FALSE,FALSE,8,8,2960.377333,1832.990722,0,TRUE,TRUE,TRUE
barcode15,MIS1025,FALSE,FALSE,8,6,1403.243087,493.8037705,0,FALSE,TRUE,FALSE
barcode16,MIS1026,FALSE,FALSE,8,7,1085.733307,803.4810506,0,TRUE,TRUE,TRUE
barcode17,MIS1027,FALSE,FALSE,8,8,2810.480748,2125.853995,0,TRUE,TRUE,TRUE
barcode18,MIS1028,FALSE,FALSE,8,3,95.36046075,69.40255145,0,FALSE,TRUE,FALSE
barcode19,MIS1029,FALSE,FALSE,8,8,1889.694342,842.8317478,0,TRUE,TRUE,TRUE
barcode20,3D7,TRUE,FALSE,8,8,2117.154801,1229.554281,0,TRUE,TRUE,TRUE
barcode21,Dd2,TRUE,FALSE,8,8,3306.78643,1808.227142,0,TRUE,TRUE,TRUE
barcode22,NTC,FALSE,TRUE,8,0,6.997517,3.069872,0,FALSE,TRUE,FALSE
barcode23,NTC,FALSE,TRUE,8,0,3.554317,1.418015,0,FALSE,TRUE,FALSE
barcode24,MIS2043,FALSE,FALSE,8,8,1317.929961,499.4610667,0,TRUE,TRUE,TRUE
barcode25,MIS2044,FALSE,FALSE,8,6,661.3407179,281.9414251,0,FALSE,TRUE,FALSE
barcode26,MIS2045,FALSE,FALSE,8,8,1983.588566,1442.859054,0,TRUE,TRUE,TRUE
barcode27,MIS2046,FALSE,FALSE,8,8,1023.936826,121.9000504,0,TRUE,TRUE,TRUE
barcode28,MIS2048,FALSE,FALSE,8,8,1294.249,870.7088169,0,TRUE,TRUE,TRUE
barcode29,MIS2049,FALSE,FALSE,8,8,2703.703498,1857.172565,0,TRUE,TRUE,TRUE
barcode30,MIS2050,FALSE,FALSE,8,8,1868.805431,1282.828292,0,TRUE,TRUE,TRUE
barcode31,MIS2051,FALSE,FALSE,8,7,850.6887374,633.9065268,0,TRUE,TRUE,TRUE
barcode32,3D7,TRUE,FALSE,8,8,2551.474358,2286.413675,0,TRUE,TRUE,TRUE
barcode33,Dd2,TRUE,FALSE,8,8,1195.060605,927.8099062,0,TRUE,TRUE,TRUE
barcode34,NTC,FALSE,TRUE,8,0,4.087782,2.8242634,0,FALSE,TRUE,FALSE
